target_family,source_or_model,temperature_C,species_or_property,metric,threshold,actual_value,passes,claim_allowed,failure_reason,recommended_manuscript_use
pressure,legacy_pcsaft_smith_missen,40,CO2_pressure,AAD_percent,pass if AAD_percent <= 50 OR median_abs_log10_error <= 0.25,195.35080539848923,false,false,pressure residual gate failed,diagnostic only; do not cite as validated pressure reproduction
pressure,legacy_pcsaft_smith_missen,40,CO2_pressure,median_abs_log10_error,pass if AAD_percent <= 50 OR median_abs_log10_error <= 0.25,0.391557292494692,false,false,pressure residual gate failed,diagnostic only; do not cite as validated pressure reproduction
pressure,legacy_pcsaft_smith_missen,40,CO2_pressure,RMSE_log10,reported; no independent pass threshold,0.4930862005590839,false,false,pressure residual gate failed,diagnostic only; do not cite as validated pressure reproduction
pressure,legacy_pcsaft_smith_missen,40,CO2_pressure,max_abs_log10_error,reported; no independent pass threshold,0.7947721708172915,false,false,pressure residual gate failed,diagnostic only; do not cite as validated pressure reproduction
pressure,legacy_pcsaft_smith_missen,60,CO2_pressure,AAD_percent,pass if AAD_percent <= 50 OR median_abs_log10_error <= 0.25,81.87866828104798,false,false,pressure residual gate failed,diagnostic only; do not cite as validated pressure reproduction
pressure,legacy_pcsaft_smith_missen,60,CO2_pressure,median_abs_log10_error,pass if AAD_percent <= 50 OR median_abs_log10_error <= 0.25,0.3060402644269827,false,false,pressure residual gate failed,diagnostic only; do not cite as validated pressure reproduction
pressure,legacy_pcsaft_smith_missen,60,CO2_pressure,RMSE_log10,reported; no independent pass threshold,0.34786566697226284,false,false,pressure residual gate failed,diagnostic only; do not cite as validated pressure reproduction
pressure,legacy_pcsaft_smith_missen,60,CO2_pressure,max_abs_log10_error,reported; no independent pass threshold,0.5513904051193479,false,false,pressure residual gate failed,diagnostic only; do not cite as validated pressure reproduction
pressure,legacy_pcsaft_smith_missen,80,CO2_pressure,AAD_percent,pass if AAD_percent <= 50 OR median_abs_log10_error <= 0.25,39.70727385659011,true,true,,retained baseline pressure comparison
pressure,legacy_pcsaft_smith_missen,80,CO2_pressure,median_abs_log10_error,pass if AAD_percent <= 50 OR median_abs_log10_error <= 0.25,0.15416556573053444,true,true,,retained baseline pressure comparison
pressure,legacy_pcsaft_smith_missen,80,CO2_pressure,RMSE_log10,reported; no independent pass threshold,0.24707785874143223,true,true,,retained baseline pressure comparison
pressure,legacy_pcsaft_smith_missen,80,CO2_pressure,max_abs_log10_error,reported; no independent pass threshold,0.4459802527261177,true,true,,retained baseline pressure comparison
pressure,legacy_pcsaft_smith_missen,100,CO2_pressure,AAD_percent,pass if AAD_percent <= 50 OR median_abs_log10_error <= 0.25,31.846277237960408,true,true,,retained baseline pressure comparison
pressure,legacy_pcsaft_smith_missen,100,CO2_pressure,median_abs_log10_error,pass if AAD_percent <= 50 OR median_abs_log10_error <= 0.25,0.0550353222347901,true,true,,retained baseline pressure comparison
pressure,legacy_pcsaft_smith_missen,100,CO2_pressure,RMSE_log10,reported; no independent pass threshold,0.16114420752118805,true,true,,retained baseline pressure comparison
pressure,legacy_pcsaft_smith_missen,100,CO2_pressure,max_abs_log10_error,reported; no independent pass threshold,0.309350643570679,true,true,,retained baseline pressure comparison
pressure,legacy_pcsaft_smith_missen,120,CO2_pressure,AAD_percent,pass if AAD_percent <= 50 OR median_abs_log10_error <= 0.25,21.167122799620312,true,true,,retained baseline pressure comparison
pressure,legacy_pcsaft_smith_missen,120,CO2_pressure,median_abs_log10_error,pass if AAD_percent <= 50 OR median_abs_log10_error <= 0.25,0.07842251497941935,true,true,,retained baseline pressure comparison
pressure,legacy_pcsaft_smith_missen,120,CO2_pressure,RMSE_log10,reported; no independent pass threshold,0.14770033366649218,true,true,,retained baseline pressure comparison
pressure,legacy_pcsaft_smith_missen,120,CO2_pressure,max_abs_log10_error,reported; no independent pass threshold,0.2869942186711153,true,true,,retained baseline pressure comparison
pressure,neutral_epcsaft_parity,40,CO2_pressure,AAD_percent,pass if AAD_percent <= 50 OR median_abs_log10_error <= 0.25,195.3506818967903,false,false,pressure residual gate failed,diagnostic only; do not cite as validated pressure reproduction
pressure,neutral_epcsaft_parity,40,CO2_pressure,median_abs_log10_error,pass if AAD_percent <= 50 OR median_abs_log10_error <= 0.25,0.3915572927666956,false,false,pressure residual gate failed,diagnostic only; do not cite as validated pressure reproduction
pressure,neutral_epcsaft_parity,40,CO2_pressure,RMSE_log10,reported; no independent pass threshold,0.4930860619551071,false,false,pressure residual gate failed,diagnostic only; do not cite as validated pressure reproduction
pressure,neutral_epcsaft_parity,40,CO2_pressure,max_abs_log10_error,reported; no independent pass threshold,0.7947717402588347,false,false,pressure residual gate failed,diagnostic only; do not cite as validated pressure reproduction
pressure,neutral_epcsaft_parity,60,CO2_pressure,AAD_percent,pass if AAD_percent <= 50 OR median_abs_log10_error <= 0.25,81.87866826431885,false,false,pressure residual gate failed,diagnostic only; do not cite as validated pressure reproduction
pressure,neutral_epcsaft_parity,60,CO2_pressure,median_abs_log10_error,pass if AAD_percent <= 50 OR median_abs_log10_error <= 0.25,0.3060402643585332,false,false,pressure residual gate failed,diagnostic only; do not cite as validated pressure reproduction
pressure,neutral_epcsaft_parity,60,CO2_pressure,RMSE_log10,reported; no independent pass threshold,0.3478656667853192,false,false,pressure residual gate failed,diagnostic only; do not cite as validated pressure reproduction
pressure,neutral_epcsaft_parity,60,CO2_pressure,max_abs_log10_error,reported; no independent pass threshold,0.55139040453856,false,false,pressure residual gate failed,diagnostic only; do not cite as validated pressure reproduction
pressure,neutral_epcsaft_parity,80,CO2_pressure,AAD_percent,pass if AAD_percent <= 50 OR median_abs_log10_error <= 0.25,39.707273764706954,true,true,,retained baseline pressure comparison
pressure,neutral_epcsaft_parity,80,CO2_pressure,median_abs_log10_error,pass if AAD_percent <= 50 OR median_abs_log10_error <= 0.25,0.15416556534496817,true,true,,retained baseline pressure comparison
pressure,neutral_epcsaft_parity,80,CO2_pressure,RMSE_log10,reported; no independent pass threshold,0.2470778580413103,true,true,,retained baseline pressure comparison
pressure,neutral_epcsaft_parity,80,CO2_pressure,max_abs_log10_error,reported; no independent pass threshold,0.4459802517327948,true,true,,retained baseline pressure comparison
pressure,neutral_epcsaft_parity,100,CO2_pressure,AAD_percent,pass if AAD_percent <= 50 OR median_abs_log10_error <= 0.25,31.846276802466928,true,true,,retained baseline pressure comparison
pressure,neutral_epcsaft_parity,100,CO2_pressure,median_abs_log10_error,pass if AAD_percent <= 50 OR median_abs_log10_error <= 0.25,0.0550353221861522,true,true,,retained baseline pressure comparison
pressure,neutral_epcsaft_parity,100,CO2_pressure,RMSE_log10,reported; no independent pass threshold,0.161144206052966,true,true,,retained baseline pressure comparison
pressure,neutral_epcsaft_parity,100,CO2_pressure,max_abs_log10_error,reported; no independent pass threshold,0.3093506390613739,true,true,,retained baseline pressure comparison
pressure,neutral_epcsaft_parity,120,CO2_pressure,AAD_percent,pass if AAD_percent <= 50 OR median_abs_log10_error <= 0.25,21.167122775261184,true,true,,retained baseline pressure comparison
