source,species,CO2_loading,mole_fraction
reference,CO2,0.11,0.0022259499566322
reference,CO2,0.125,0.002555082208568
reference,CO2,0.205,0.0041802904647093
reference,CO2,0.21,0.0003799120341106
reference,CO2,0.236,0.0048529795612888
reference,CO2,0.25,0.0001748188924282
reference,CO2,0.28,0.0057576367908817
reference,CO2,0.29,0.0026583119891914
reference,CO2,0.343,0.0071480411026691
reference,CO2,0.354,0.0073865616572471
reference,CO2,0.4,0.0031618027204609
reference,CO2,0.46,0.0100905577226056
reference,CO2,0.466,0.0098114099353809
reference,CO2,0.487,0.0102761901594432
reference,CO2,0.508,0.010644991432994
reference,CO2,0.6,0.0036421429635567
reference,CO2,0.663,0.01216846287156
reference,CO2,0.683,0.0132585110468008
reference,CO2,0.762,0.0146170673462798
reference,CO2,0.78,0.006535586710452
model,CO2,0.11,5.426445224806799e-09
model,CO2,0.125,7.984389124040647e-09
model,CO2,0.205,4.607472368643871e-08
model,CO2,0.21,5.0914468764705413e-08
model,CO2,0.236,8.487107258872304e-08
model,CO2,0.25,1.113178614217165e-07
model,CO2,0.28,1.985279394365595e-07
model,CO2,0.29,2.408837150036259e-07
model,CO2,0.343,6.87040870044538e-07
model,CO2,0.354,8.607250179430748e-07
model,CO2,0.4,2.307607057963484e-06
model,CO2,0.46,9.32026810976251e-06
model,CO2,0.466,1.0756473655801875e-05
model,CO2,0.487,1.7704144000733265e-05
model,CO2,0.508,2.8722757211927333e-05
model,CO2,0.6,0.000170052523555
model,CO2,0.663,0.0004225787665751
model,CO2,0.683,0.0005438897669619
model,CO2,0.762,0.001312507151048
model,CO2,0.78,0.0015733422924204
reference,MEA,0.11,0.0987145465688095
reference,MEA,0.125,0.1099994324578529
reference,MEA,0.205,0.0952000999639904
reference,MEA,0.21,0.0736809343085297
reference,MEA,0.236,0.0869189627411158
reference,MEA,0.25,0.0573102772790795
reference,MEA,0.28,0.0790669657005949
reference,MEA,0.29,0.0571397063129016
reference,MEA,0.343,0.0657023781369644
reference,MEA,0.354,0.0637337699137578
reference,MEA,0.4,0.0380144774062289
reference,MEA,0.46,0.0422455203178565
reference,MEA,0.466,0.0455966720924128
reference,MEA,0.487,0.0423683083268131
reference,MEA,0.508,0.0398580721910683
reference,MEA,0.6,0.002802616379713
reference,MEA,0.663,0.0193263557540831
reference,MEA,0.683,0.0154436338385777
reference,MEA,0.762,0.0057172026624181
reference,MEA,0.78,0.0012010544019594
model,MEA,0.11,0.0876715290607636
model,MEA,0.125,0.0843434127675737
model,MEA,0.205,0.0666807169409399
model,MEA,0.21,0.0655840154265381
model,MEA,0.236,0.0599014423802447
model,MEA,0.25,0.0568582926660729
model,MEA,0.28,0.0503889179497055
model,MEA,0.29,0.048251871393607
model,MEA,0.343,0.0371677819990432
model,MEA,0.354,0.0349380812456834
model,MEA,0.4,0.0260485576489968
model,MEA,0.46,0.0162536842901566
model,MEA,0.466,0.0154391567545909
model,MEA,0.487,0.0128699014311867
model,MEA,0.508,0.0107426098431703
model,MEA,0.6,0.0054305806358558
model,MEA,0.663,0.0037875188910509
model,MEA,0.683,0.0034158406901096
model,MEA,0.762,0.0023231892167129
model,MEA,0.78,0.0021305298504394
reference,H2O,0.11,0.8780024407674573
reference,H2O,0.125,0.8584531597755692
reference,H2O,0.205,0.8519238914828909
reference,H2O,0.21,0.8789393870740638
reference,H2O,0.236,0.8533790772289923
reference,H2O,0.25,0.890195664842962
reference,H2O,0.28,0.8489751334302039
reference,H2O,0.29,0.8826670367936632
reference,H2O,0.343,0.8468720105051963
reference,H2O,0.354,0.8457591970624008
reference,H2O,0.4,0.8565928771905873
reference,H2O,0.46,0.847578207957248
reference,H2O,0.466,0.8346491653901913
reference,H2O,0.487,0.833133418491292
reference,H2O,0.508,0.8330271432308084
reference,H2O,0.6,0.8632045851624096
reference,H2O,0.663,0.8052170221981947
reference,H2O,0.683,0.8203552502118869
reference,H2O,0.762,0.7841114375967433
reference,H2O,0.78,0.8239593641577498
model,H2O,0.11,0.8859521951022548
model,H2O,0.125,0.8858585162842582
model,H2O,0.205,0.8854051730058548
model,H2O,0.21,0.8853743770905419
model,H2O,0.236,0.8851993531233071
model,H2O,0.25,0.8850915849456605
model,H2O,0.28,0.8848149958509182
model,H2O,0.29,0.8847050299184201
model,H2O,0.343,0.8838935962551188
model,H2O,0.354,0.8836578127498989
model,H2O,0.4,0.8822566242340995
model,H2O,0.46,0.8787107396583372
model,H2O,0.466,0.8781987155452976
model,H2O,0.487,0.8761376736917301
model,H2O,0.508,0.8736541933018965
model,H2O,0.6,0.8589480219698468
model,H2O,0.663,0.8470354374455891
model,H2O,0.683,0.8431405277749183
model,H2O,0.762,0.827672007643085
model,H2O,0.78,0.8241837879179627
reference,MEAH+,0.11,0.0065009240057904
reference,MEAH+,0.125,0.0117071824356266
reference,MEAH+,0.205,0.0194291776973889
reference,MEAH+,0.21,0.0161092109287402
reference,MEAH+,0.236,0.0222750262236279
reference,MEAH+,0.25,0.0220144775233012
reference,MEAH+,0.28,0.0265244870337866
reference,MEAH+,0.29,0.0226340825700963
reference,MEAH+,0.343,0.0320357453000182
reference,MEAH+,0.354,0.0330064266280108
reference,MEAH+,0.4,0.0479560217528928
reference,MEAH+,0.46,0.0386574847961274
reference,MEAH+,0.466,0.0426711846891635
reference,MEAH+,0.487,0.0443487634952111
reference,MEAH+,0.508,0.0468859123962562
reference,MEAH+,0.6,0.0622453056741426
reference,MEAH+,0.663,0.081992672735718
reference,MEAH+,0.683,0.0758383831423669
reference,MEAH+,0.762,0.0981721053932391
reference,MEAH+,0.78,0.0757657861675824
model,MEAH+,0.11,0.0139999784643873
model,MEAH+,0.125,0.0157428274747157
model,MEAH+,0.205,0.024892943812222
model,MEAH+,0.21,0.0254597135340273
model,MEAH+,0.236,0.0284011492849078
model,MEAH+,0.25,0.0299816100277505
model,MEAH+,0.28,0.0333619205804661
model,MEAH+,0.29,0.0344869527122375
model,MEAH+,0.343,0.0404353944012882
model,MEAH+,0.354,0.0416664832486814
model,MEAH+,0.4,0.046794937231557
model,MEAH+,0.46,0.053402089080848
model,MEAH+,0.466,0.0540552984138303
model,MEAH+,0.487,0.0563289899216555
model,MEAH+,0.508,0.0585833823970081
model,MEAH+,0.6,0.0682850048075991
model,MEAH+,0.663,0.0747891992963431
model,MEAH+,0.683,0.0768211253313212
model,MEAH+,0.762,0.084585445009543
model,MEAH+,0.78,0.086271386424694
reference,MEACOO-,0.11,0.0102805874212667
reference,MEACOO-,0.125,0.0143738469394433
reference,MEACOO-,0.205,0.0240584313250043
reference,MEACOO-,0.21,0.0174802338608995
reference,MEACOO-,0.236,0.0270660000072789
reference,MEACOO-,0.25,0.0251776957901549
reference,MEACOO-,0.28,0.0326617835376153
reference,MEACOO-,0.29,0.0278766330945291
reference,MEACOO-,0.343,0.0395783914736942
reference,MEACOO-,0.354,0.0409800332102091
reference,MEACOO-,0.4,0.0484227709461223
reference,MEACOO-,0.46,0.0492519221762462
reference,MEACOO-,0.466,0.0501963974560959
reference,MEACOO-,0.487,0.0510997936930724
reference,MEACOO-,0.508,0.0482931313711594
reference,MEACOO-,0.6,0.0488558827833097
reference,MEACOO-,0.663,0.0346634075551988
reference,MEACOO-,0.683,0.0322825661037428
reference,MEACOO-,0.762,0.0187927017111607
reference,MEACOO-,0.78,0.0386873808909047
model,MEACOO-,0.11,0.0105746611003287
model,MEACOO-,0.125,0.0121599280716759
model,MEACOO-,0.205,0.0206725033337141
model,MEACOO-,0.21,0.0212024343525013
model,MEACOO-,0.236,0.0239435680207973
model,MEACOO-,0.25,0.0254062535169911
model,MEACOO-,0.28,0.0284953083787685
model,MEACOO-,0.29,0.0295073177652876
model,MEACOO-,0.343,0.034642917461894
model,MEACOO-,0.354,0.0356415087490835
model,MEACOO-,0.4,0.0394024168592202
model,MEACOO-,0.46,0.0425893510125177
model,MEACOO-,0.466,0.0427505086491521
model,MEACOO-,0.487,0.0430452926123623
model,MEACOO-,0.508,0.0429169547594855
model,MEACOO-,0.6,0.0385114962509244
model,MEACOO-,0.663,0.0336220191389528
model,MEACOO-,0.683,0.0319481541292744
model,MEACOO-,0.762,0.0251902115396403
model,MEACOO-,0.78,0.0236676514513561
reference,HCO3-,0.11,9.917752069152127e-05
reference,HCO3-,0.125,1.000000000043384e-12
reference,HCO3-,0.205,1.0000000000000056e-12
reference,HCO3-,0.21,0.0019918733130064
reference,HCO3-,0.236,1.0000000000000002e-12
reference,HCO3-,0.25,0.0003927694873999
reference,HCO3-,0.28,1.0000000000495472e-12
reference,HCO3-,0.29,0.0002963351266683
reference,HCO3-,0.343,1.0000000000000002e-12
reference,HCO3-,0.354,1.0000000000093094e-12
reference,HCO3-,0.4,0.0011970601874816
reference,HCO3-,0.46,1.5076059220273565e-07
reference,HCO3-,0.466,0.0039999458154969
reference,HCO3-,0.487,0.0051999897775372
reference,HCO3-,0.508,0.0090994911992821
reference,HCO3-,0.6,0.014972803014411
reference,HCO3-,0.663,0.0426346991840837
reference,HCO3-,0.683,0.0381231560124988
reference,HCO3-,0.762,0.0592916533632496
reference,HCO3-,0.78,0.0441166703928938
model,HCO3-,0.11,0.0001487254857766
model,HCO3-,0.125,0.0001832429582394
model,HCO3-,0.205,0.0004660902161382
model,HCO3-,0.21,0.0004913384901034
model,HCO3-,0.236,0.0006432615638503
model,HCO3-,0.25,0.0007419651549461
model,HCO3-,0.28,0.0010054605106883
model,HCO3-,0.29,0.0011127747894847
model,HCO3-,0.343,0.001923951480481
model,HCO3-,0.354,0.0021630191924397
model,HCO3-,0.4,0.0035962761549766
model,HCO3-,0.46,0.0072561634248647
model,HCO3-,0.466,0.0077856622663441
model,HCO3-,0.487,0.0099166615581033
model,HCO3-,0.508,0.0124814486812698
model,HCO3-,0.6,0.0275360353474639
model,HCO3-,0.663,0.0395192311558918
model,HCO3-,0.683,0.0433878841910852
model,HCO3-,0.762,0.0584380076949618
model,HCO3-,0.78,0.0617428361118647
reference,CO3^2-,0.11,9.917760739485222e-05
reference,CO3^2-,0.125,8.1543892041035e-05
reference,CO3^2-,0.205,0.0001929518118001
reference,CO3^2-,0.21,0.0026851840781611
reference,CO3^2-,0.236,0.0002389934836816
reference,CO3^2-,0.25,0.0003927694764734
reference,CO3^2-,0.28,0.0002922323333628
reference,CO3^2-,0.29,0.0003963361536162
reference,CO3^2-,0.343,0.0003735957682605
reference,CO3^2-,0.354,0.0003868016477253
reference,CO3^2-,0.4,0.0009970601381716
reference,CO3^2-,0.46,0.0005271893758709
reference,CO3^2-,0.466,0.0005166886792763
reference,CO3^2-,0.487,0.0005408386934107
reference,CO3^2-,0.508,0.0005615160010819
reference,CO3^2-,0.6,0.0008977612992929
reference,CO3^2-,0.663,0.000697186296274
reference,CO3^2-,0.683,0.0007341613829992
reference,CO3^2-,0.762,0.0007899183929194
reference,CO3^2-,0.78,0.0008986307204138
model,CO3^2-,0.11,0.0016236865566359
model,CO3^2-,0.125,0.0016875920260583
model,CO3^2-,0.205,0.0018718240671187
model,CO3^2-,0.21,0.0018778705805883
model,CO3^2-,0.236,0.001903179303331
model,CO3^2-,0.25,0.0019132091474823
model,CO3^2-,0.28,0.0019279538036292
model,CO3^2-,0.29,0.0019310477968742
model,CO3^2-,0.343,0.0019328543629835
model,CO3^2-,0.354,0.0019297213151328
model,CO3^2-,0.4,0.0018973642571925
model,CO3^2-,0.46,0.0017779227061823
model,CO3^2-,0.466,0.0017592259669945
model,CO3^2-,0.487,0.0016832594710488
model,CO3^2-,0.508,0.0015922910223003
model,CO3^2-,0.6,0.0011186649098482
model,CO3^2-,0.663,0.0008239338016669
model,CO3^2-,0.683,0.000742508991072
model,CO3^2-,0.762,0.0004785941417631
model,CO3^2-,0.78,0.0004304330224645
reference,H3O+,0.11,0.0040771961509575
reference,H3O+,0.125,0.0028297522888987
reference,H3O+,0.205,0.0050151572522157
reference,H3O+,0.21,0.008733264401488
reference,H3O+,0.236,0.0052689607520143
reference,H3O+,0.25,0.0043415267072005
reference,H3O+,0.28,0.0067217611715544
reference,H3O+,0.29,0.0063315579583337
reference,H3O+,0.343,0.0082898377111971
reference,H3O+,0.354,0.008747209878649
reference,H3O+,0.4,0.0036579296570544
reference,H3O+,0.46,0.0116489668924529
reference,H3O+,0.466,0.012558535940982
reference,H3O+,0.487,0.01303269736222
reference,H3O+,0.508,0.0116297421763492
reference,H3O+,0.6,0.0033789027221641
reference,H3O+,0.663,1e-12
reference,H3O+,0.683,1e-12
reference,H3O+,0.762,1e-12
reference,H3O+,0.78,0.0088355265570438
model,H3O+,0.11,3.6019956374748214e-13
model,H3O+,0.125,4.057889986222317e-13
model,H3O+,0.205,6.794754634399966e-13
model,H3O+,0.21,6.994843327339924e-13
model,H3O+,0.236,8.123174423331718e-13
model,H3O+,0.25,8.80424153258214e-13
model,H3O+,0.28,1.049448240049981e-12
model,H3O+,0.29,1.1145144789958517e-12
model,H3O+,0.343,1.568440341425679e-12
model,H3O+,0.354,1.6944293242200734e-12
model,H3O+,0.4,2.4150414481006138e-12
model,H3O+,0.46,4.1495329080348246e-12
model,H3O+,0.466,4.395275996966765e-12
model,H3O+,0.487,5.378188933223948e-12
model,H3O+,0.508,6.553640604978474e-12
model,H3O+,0.6,1.3483516971925296e-11
model,H3O+,0.663,1.9286078134316434e-11
model,H3O+,0.683,2.127532045895652e-11
model,H3O+,0.762,3.0064656040732206e-11
model,H3O+,0.78,3.234804452807556e-11
reference,OH-,0.11,1e-12
reference,OH-,0.125,1.0000000000000002e-12
reference,OH-,0.205,1e-12
reference,OH-,0.21,9.999999999999998e-13
reference,OH-,0.236,1.0000000000000002e-12
reference,OH-,0.25,9.999999999999998e-13
reference,OH-,0.28,9.999999999999998e-13
reference,OH-,0.29,1e-12
reference,OH-,0.343,1.0000000000000002e-12
reference,OH-,0.354,1e-12
reference,OH-,0.4,1.0000000000000002e-12
reference,OH-,0.46,1.0000000000000002e-12
reference,OH-,0.466,9.999999999999998e-13
reference,OH-,0.487,1e-12
reference,OH-,0.508,9.999999999999998e-13
reference,OH-,0.6,1e-12
reference,OH-,0.663,0.0033001934038874
reference,OH-,0.683,0.0039643382601266
reference,OH-,0.762,0.0185079135329898
reference,OH-,0.78,1.0000000000000002e-12
model,OH-,0.11,2.9218803047790172e-05
model,OH-,0.125,2.447243268357915e-05
model,OH-,0.205,1.0702548609067846e-05
model,OH-,0.21,1.0199610531313138e-05
model,OH-,0.236,7.96145167657511e-06
model,OH-,0.25,6.973222354449858e-06
model,OH-,0.28,5.244396835191819e-06
model,OH-,0.29,4.764739259018496e-06
model,OH-,0.343,2.8169967526336822e-06
model,OH-,0.354,2.5127723678269144e-06
model,OH-,0.4,1.5160044841440148e-06
model,OH-,0.46,7.295548341141669e-07
model,OH-,0.466,6.759257390447254e-07
model,OH-,0.487,5.171645341089664e-07
model,OH-,0.508,3.972311034896729e-07
model,OH-,0.6,1.4354142305923116e-07
model,OH-,0.663,8.148464389558353e-08
model,OH-,0.683,6.910398161098271e-08
model,OH-,0.762,3.7573181126142274e-08
model,OH-,0.78,3.289645000395309e-08
reference,MEA + MEAH+,0.11,0.1052154705745999
reference,MEA + MEAH+,0.125,0.1217066148934795
reference,MEA + MEAH+,0.205,0.1146292776613793
reference,MEA + MEAH+,0.21,0.08979014523726991
reference,MEA + MEAH+,0.236,0.1091939889647437
reference,MEA + MEAH+,0.25,0.0793247548023807
reference,MEA + MEAH+,0.28,0.1055914527343815
reference,MEA + MEAH+,0.29,0.0797737888829979
reference,MEA + MEAH+,0.343,0.0977381234369826
reference,MEA + MEAH+,0.354,0.0967401965417686
reference,MEA + MEAH+,0.4,0.0859704991591217
reference,MEA + MEAH+,0.46,0.0809030051139839
reference,MEA + MEAH+,0.466,0.0882678567815763
reference,MEA + MEAH+,0.487,0.0867170718220242
reference,MEA + MEAH+,0.508,0.0867439845873245
reference,MEA + MEAH+,0.6,0.0650479220538556
reference,MEA + MEAH+,0.663,0.10131902848980111
reference,MEA + MEAH+,0.683,0.09128201698094461
reference,MEA + MEAH+,0.762,0.1038893080556572
reference,MEA + MEAH+,0.78,0.0769668405695418
model,MEA + MEAH+,0.11,0.1016715075251509
model,MEA + MEAH+,0.125,0.1000862402422894
model,MEA + MEAH+,0.205,0.0915736607531619
model,MEA + MEAH+,0.21,0.09104372896056541
model,MEA + MEAH+,0.236,0.0883025916651525
model,MEA + MEAH+,0.25,0.0868399026938234
model,MEA + MEAH+,0.28,0.0837508385301716
model,MEA + MEAH+,0.29,0.0827388241058445
model,MEA + MEAH+,0.343,0.0776031764003314
model,MEA + MEAH+,0.354,0.0766045644943648
model,MEA + MEAH+,0.4,0.0728434948805538
model,MEA + MEAH+,0.46,0.0696557733710046
model,MEA + MEAH+,0.466,0.0694944551684212
model,MEA + MEAH+,0.487,0.0691988913528422
model,MEA + MEAH+,0.508,0.06932599224017841
model,MEA + MEAH+,0.6,0.0737155854434549
model,MEA + MEAH+,0.663,0.078576718187394
model,MEA + MEAH+,0.683,0.0802369660214308
model,MEA + MEAH+,0.762,0.0869086342262559
model,MEA + MEAH+,0.78,0.0884019162751334
